row_id,text,batch_id
train_00000,"ds In I formed by Sending Them I The Chitina Leader THE CHITINA LEADER Opening of Bering Coal Means Smelters for Cordova FTTH YEAR. CHITINA, ALASKA, TUESDAY, JANUARY 4, 1916. NUMB",batch_21
train_00001,"ents From Copper River Valley Are Over $2,000,000 Each Mont",batch_21
train_00002, Lode Mines Company % 1 CA o Instal 100 Ton A Day ,batch_21
train_00003,"tensive scale next year, according to information given the Dally Times by Superintendent W. Bertram Hancock, who is spend ing the holidays in Cordova with his family. At present fifty-seven men are em ployed at this copper mine, develop ing on four different levels below the mouth of the tunnel and stoping out the high grade ore. Recently about 100 tons of this metal was transport ed over the trail to the Copper River & Northwestern railway to the Ta coma smelter. This ore runs from 57 to 60 per cent copper. Will Instal New Mill. Arrangements have been made to instal a mill on the property next spring, with a capacity of 100 tons per day; a hydro-electric plant of 200 horse power for the mill. and also a com",batch_21
train_00004,"nths, a distance of four teen miles. Owing to the high water in McCarthy creek in the summer. caused by the melting snows and gla ciers at its head, the partly con can structed trail down the creek only be used by pack train and saddle horses for about eight months of the year, but after the freeze-up heavy freight sleds become available. $3,600,000 Worth Ore Blocked Out. The whole of the mining operations so far carried on in the Mother Lode mine are practically confined to the Marvellous, Godfrey and Hero claims, and consists of 5,415 feet of tunnels, crosscuts. drifts. etc. Since the erec tion of a tramway the work of explor ation and development has been car ried on expeditiously. The ore body follows the dip of the bedding planes in the limestone, and the main body varies from s",batch_21
train_00005,"hers a mixture of covellite, azurite and malachite, with considerable exide of iron. It is es timated that there is $3,600,000 worth of ore blocked out. and tonnage broken in stopes and on the dump. Where the Work Has Been Done. The property consists of seventy lode and placer claims. located in 1907, and subsequent years by Oscar Haglund. Oscar Sall and John Smith, and embraces an area of about 1,300 acres of ground in the Chitina mining district. These locations are for the most part in Marvellous and Indepen dence gulches, western tributaries to McCarthy creek, thirteen to fourteen miles above its mouth, where it flows into the Kennecott river. The Mar vellous, Godfrey and Hero claims, upon which most of the mining has been done, are all at the head of Mar vellous gulch, at an elevation of from 5,820 to 6,734 feet above sea ",batch_21
train_00006,"e, and one and a quarter miles southeast from the Jumbo mine, both properties of the Kennecott Copper Corporation. Occurrence of Copper Ore. The ore bodies occur as replace ments of green or of limestone, or as filling in cavities developed along fis sures, fault places, sheer zones and joints. or bedding planes m green stone or limestone. Aggregates of copper minerals are far more com mon in the greenstone than the lime stone. but the largest deposits that have been discovered up to the pres ent are in the limestone. The deposits of the Bonanza and Jumbo mines oc cur in the limestone within 90 feet of its contact with the greenstone, whereas the Mother Lode deposit is at least 900 feet above the contact which seems to indicate that copper occurs in nearly all parts of the for mation and that the",batch_21
train_00007,"inley Lodge. No. 183. F. & A. M., were held in Masonic hall, there being a large attendance ol the members, as well as the members of Cordova Chapter, No. 4, Order of the Eastern Star. The ceremony is very impressive, and was conducted in a manner that refinated erat credit nnon the instal ling officers. During the evening there were a number of appropriate vocal selections rendered by Mrs. J B. O’Neill and Mrs. J. F. Appleby, ac companied by Mrs. H. I. Lewis on the organ",batch_21
train_00008,"Warden — Archibald McN. Field. Junior Warden — Oscar C. Meyer. Treasurer — Robert L. Patton. Secretary—Edward F. Medley. Chaplain—Thomas M. Hunt. Marshal—John Day. Senior Deacon — John J. Strigsve. Senior Steward — Guy K. Higgin son. Junior Steward — Chas. Kittsman. Organist — Wm. E. Brown. Tyler — Peter Shearman. Immediately after the installation ' the Masons and their guests repaired ! to Slater’s restaurant, where",batch_21
train_00009,"erved. After the cigars had been passed. Worship ful Master H. A. Slater, who acted as toastmaster, made the opening ad dress, in which he pointed out the principles of Masonry and what it had i accomplisaed for mankind. He then railed upon Mrs. Bartley Howard, worthy matron or ourduva Oap*=r, who made a most interesting and im pressive talk, reviewing the general scope and teachings of the Order of Eastern Star. Past Masters R. L. I Patton and Bartley Howard made lengthy addresses, dealing chiefly with the ",batch_21
