bag_id,batch_id
bag_0000,batch_32 batch_32 batch_30 batch_32 batch_30 batch_32 batch_30 batch_32 batch_30 batch_30 batch_30 batch_30 batch_30 batch_32 batch_32 batch_32
bag_0001,batch_30 batch_30 batch_33 batch_33 batch_33 batch_17 batch_33 batch_33 batch_30 batch_17 batch_30 batch_30 batch_17 batch_33 batch_17 batch_31 batch_31 batch_31 batch_30 batch_30 batch_17 batch_17 batch_31 batch_30 batch_33 batch_31 batch_31 batch_31 batch_30 batch_17 batch_33 batch_31 batch_30 batch_33 batch_33 batch_33 batch_17
bag_0002,batch_05 batch_05 batch_07 batch_07 batch_07 batch_05 batch_07 batch_07 batch_05 batch_05 batch_05 batch_05 batch_05 batch_07 batch_07 batch_07 batch_05 batch_07 batch_05 batch_05 batch_05 batch_05 batch_07 batch_07 batch_07
bag_0003,batch_08 batch_30 batch_08 batch_08 batch_11 batch_30 batch_11 batch_01 batch_30 batch_11 batch_08 batch_30 batch_11 batch_30 batch_11 batch_11 batch_08 batch_08 batch_30 batch_11 batch_08 batch_08 batch_01 batch_08 batch_30 batch_01 batch_11 batch_30 batch_08 batch_08 batch_01 batch_08 batch_11 batch_11 batch_01 batch_30 batch_11 batch_30 batch_08 batch_01 batch_01 batch_01 batch_08 batch_30
bag_0004,batch_07 batch_08 batch_07 batch_08 batch_08 batch_08 batch_07 batch_08 batch_08 batch_07 batch_08 batch_01 batch_01 batch_01 batch_07 batch_01 batch_08 batch_01 batch_07 batch_07 batch_01 batch_07 batch_08 batch_07 batch_01 batch_08 batch_07 batch_08 batch_08 batch_01 batch_07 batch_07 batch_08 batch_08
bag_0005,batch_28 batch_28 batch_28 batch_28 batch_31 batch_31 batch_31 batch_31 batch_31 batch_28 batch_28 batch_31 batch_31 batch_28 batch_28 batch_31 batch_31 batch_31 batch_31
bag_0006,batch_08 batch_01 batch_01 batch_19 batch_07 batch_01 batch_01 batch_08 batch_07 batch_08 batch_07 batch_07 batch_19 batch_01 batch_19 batch_08 batch_01 batch_19 batch_08 batch_01 batch_08 batch_01 batch_07 batch_01 batch_19 batch_01 batch_07 batch_01 batch_01 batch_19 batch_08 batch_19 batch_01 batch_07 batch_01 batch_07 batch_07 batch_19 batch_08 batch_19 batch_08
bag_0007,batch_11 batch_05 batch_11 batch_11 batch_05 batch_08 batch_05 batch_05 batch_08 batch_05 batch_05 batch_11 batch_08 batch_11 batch_05 batch_05 batch_08 batch_08 batch_08 batch_11 batch_11 batch_05 batch_05 batch_11 batch_08 batch_05 batch_05 batch_11 batch_08
bag_0008,batch_08 batch_07 batch_07 batch_32 batch_32 batch_08 batch_07 batch_08 batch_17 batch_07 batch_32 batch_17 batch_08 batch_07 batch_07 batch_17 batch_17 batch_32 batch_17 batch_08 batch_32 batch_17 batch_17 batch_32 batch_32 batch_08 batch_07 batch_17 batch_32 batch_32 batch_17 batch_07 batch_08 batch_08 batch_17 batch_32 batch_17 batch_17 batch_32 batch_07 batch_07 batch_32 batch_17 batch_08 batch_17 batch_07 batch_32 batch_32
bag_0009,batch_33 batch_33 batch_33 batch_01 batch_05 batch_05 batch_05 batch_01 batch_01 batch_05 batch_01 batch_33 batch_01 batch_01 batch_05 batch_05 batch_33 batch_33 batch_01 batch_01 batch_01 batch_05 batch_05 batch_05 batch_05 batch_33 batch_05 batch_05 batch_05 batch_33 batch_05 batch_33 batch_33 batch_01 batch_01 batch_33 batch_01
bag_0010,batch_14 batch_14 batch_01 batch_01 batch_14 batch_01 batch_01 batch_01 batch_14 batch_01 batch_14 batch_01 batch_01 batch_14 batch_01 batch_01 batch_01 batch_01 batch_14 batch_14 batch_14 batch_14 batch_14 batch_01
bag_0011,batch_32 batch_32 batch_08 batch_16 batch_16 batch_08 batch_16 batch_13 batch_13 batch_32 batch_13 batch_13 batch_13 batch_32 batch_08 batch_08 batch_32 batch_08 batch_08 batch_32 batch_16 batch_08 batch_16 batch_32 batch_13 batch_13 batch_32 batch_16 batch_16 batch_13 batch_32 batch_13 batch_13 batch_32 batch_16 batch_16 batch_08 batch_16 batch_32 batch_13 batch_32 batch_16
bag_0012,batch_28 batch_16 batch_01 batch_01 batch_28 batch_01 batch_01 batch_28 batch_01 batch_16 batch_28 batch_16 batch_16 batch_01 batch_28 batch_16 batch_01 batch_28 batch_28 batch_01 batch_01 batch_16 batch_16 batch_28 batch_16 batch_28 batch_16 batch_16 batch_01 batch_01 batch_01 batch_28 batch_01
bag_0013,batch_33 batch_33 batch_33 batch_33 batch_13 batch_13 batch_13 batch_13 batch_33 batch_33 batch_13 batch_13 batch_33 batch_33 batch_13 batch_13 batch_33
bag_0014,batch_33 batch_01 batch_07 batch_33 batch_28 batch_28 batch_01 batch_28 batch_07 batch_01 batch_01 batch_33 batch_33 batch_01 batch_28 batch_01 batch_01 batch_07 batch_07 batch_01 batch_01 batch_28 batch_01 batch_07 batch_33 batch_33 batch_01 batch_28 batch_07 batch_28 batch_01 batch_28 batch_07 batch_33 batch_28 batch_28 batch_07 batch_28 batch_33
bag_0015,batch_05 batch_17 batch_17 batch_05 batch_17 batch_17 batch_17 batch_17 batch_05 batch_05 batch_17 batch_17 batch_17 batch_05 batch_17 batch_05 batch_17 batch_05 batch_17 batch_05 batch_05 batch_05 batch_17 batch_05 batch_05 batch_05 batch_05
bag_0016,batch_13 batch_11 batch_14 batch_08 batch_14 batch_08 batch_13 batch_08 batch_08 batch_08 batch_11 batch_13 batch_13 batch_14 batch_14 batch_11 batch_11 batch_11 batch_08 batch_08 batch_13 batch_13 batch_14 batch_11 batch_11 batch_08 batch_08 batch_08 batch_11 batch_08 batch_14 batch_11 batch_14 batch_13 batch_14 batch_08 batch_13 batch_08 batch_11 batch_11 batch_11 batch_13 batch_14 batch_08 batch_11
bag_0017,batch_17 batch_30 batch_30 batch_17 batch_30 batch_32 batch_17 batch_30 batch_30 batch_32 batch_32 batch_32 batch_32 batch_32 batch_32 batch_32 batch_17 batch_32 batch_17 batch_30 batch_32 batch_17 batch_32 batch_17 batch_30 batch_30 batch_30 batch_17 batch_17 batch_17 batch_32 batch_30 batch_32 batch_32 batch_17
