line_id,canonical
L060001,REJECT
L060002,ts=2025-03-30T19:08:00Z|dev=FAN-9035|site=FIN1|temp_c=33.2|pres_kpa=575.2|status=OK
L060003,ts=2025-02-01T14:22:09Z|dev=FAN-7748|site=NE2|temp_c=89.1|pres_kpa=139.7|status=FAULT
L060004,REJECT
L060005,ts=2025-03-17T09:25:40Z|dev=PMP-8119|site=MID1|temp_c=53.7|pres_kpa=856.5|status=OK
L060006,ts=2025-02-21T15:18:59Z|dev=PMP-8391|site=ARG1|temp_c=36.4|pres_kpa=443.8|status=OK
L060007,ts=2025-03-10T21:45:00Z|dev=FAN-8305|site=ATH2|temp_c=74.4|pres_kpa=697.2|status=WARN
L060008,ts=2025-03-21T10:54:00Z|dev=PMP-8356|site=DEN3|temp_c=25.2|pres_kpa=94.6|status=WARN
L060009,ts=2025-05-26T09:43:00Z|dev=CMP-8189|site=MID1|temp_c=44.5|pres_kpa=584.4|status=OK
L060010,ts=2025-02-09T22:47:37Z|dev=FAN-8651|site=JPN1|temp_c=17.2|pres_kpa=689.9|status=OK
L060011,ts=2025-03-04T20:48:00Z|dev=CMP-8604|site=FIN1|temp_c=30.4|pres_kpa=536.1|status=OK
L060012,ts=2025-03-12T13:30:00Z|dev=VLV-8679|site=POL2|temp_c=31.3|pres_kpa=815.9|status=OK
L060013,ts=2025-03-26T02:10:00Z|dev=CMP-8017|site=SYD3|temp_c=56.5|pres_kpa=426.4|status=OK
L060014,ts=2025-05-23T23:08:15Z|dev=CMP-9500|site=DEN3|temp_c=71.2|pres_kpa=358.6|status=OK
L060015,ts=2025-05-12T06:01:59Z|dev=PMP-8868|site=CHL3|temp_c=63.1|pres_kpa=453.0|status=OK
L060016,ts=2025-04-01T15:13:00Z|dev=PMP-9434|site=SYD3|temp_c=35.0|pres_kpa=346.7|status=OK
L060017,ts=2025-05-27T10:38:48Z|dev=CMP-9391|site=BRZ2|temp_c=18.0|pres_kpa=830.1|status=OK
L060018,ts=2025-05-08T21:43:06Z|dev=PMP-7648|site=ATL4|temp_c=10.2|pres_kpa=364.0|status=OK
L060019,ts=2025-02-10T15:52:00Z|dev=CMP-9876|site=IND2|temp_c=83.9|pres_kpa=249.3|status=OK
L060020,ts=2025-03-30T01:59:50Z|dev=PMP-9340|site=ARG1|temp_c=40.3|pres_kpa=152.9|status=OK
L060021,ts=2025-02-27T15:09:29Z|dev=FAN-9201|site=NFL1|temp_c=42.1|pres_kpa=656.3|status=FAULT
L060022,ts=2025-05-11T14:23:00Z|dev=VLV-8362|site=MID9|temp_c=54.7|pres_kpa=402.8|status=WARN
L060023,REJECT
L060024,ts=2025-05-23T11:29:06Z|dev=CMP-7876|site=PAC5|temp_c=-0.2|pres_kpa=611.6|status=FAULT
L060025,ts=2025-04-26T14:01:14Z|dev=PMP-9196|site=BKK1|temp_c=28.8|pres_kpa=463.4|status=OK
L060026,ts=2025-05-15T15:48:35Z|dev=FAN-9302|site=MID9|temp_c=29.3|pres_kpa=363.3|status=WARN
L060027,ts=2025-05-17T12:18:00Z|dev=CMP-9287|site=NE7|temp_c=33.2|pres_kpa=711.0|status=OK
L060028,ts=2025-03-14T08:18:41Z|dev=CMP-8359|site=SYD3|temp_c=44.5|pres_kpa=493.9|status=WARN
L060029,ts=2025-05-26T03:29:48Z|dev=PMP-7163|site=DEN3|temp_c=2.9|pres_kpa=92.3|status=OK
L060030,ts=2025-03-29T00:02:26Z|dev=PMP-7030|site=NZL1|temp_c=60.8|pres_kpa=452.5|status=OK
L060031,ts=2025-04-28T08:58:00Z|dev=PMP-7496|site=ICE1|temp_c=30.0|pres_kpa=315.0|status=OK
L060032,REJECT
L060033,ts=2025-04-26T07:02:00Z|dev=FAN-7870|site=CHL3|temp_c=74.6|pres_kpa=376.5|status=OK
L060034,ts=2025-04-21T09:27:40Z|dev=FAN-9301|site=NE2|temp_c=7.9|pres_kpa=208.1|status=OK
L060035,ts=2025-04-10T16:07:45Z|dev=VLV-8296|site=FRA3|temp_c=88.5|pres_kpa=155.8|status=OK
L060036,ts=2025-04-13T13:48:37Z|dev=FAN-9573|site=POL2|temp_c=23.9|pres_kpa=177.4|status=OK
L060037,REJECT
L060038,ts=2025-03-11T00:52:00Z|dev=PMP-9736|site=IND7|temp_c=8.0|pres_kpa=831.5|status=OK
L060039,ts=2025-03-27T07:54:00Z|dev=CMP-7971|site=PAC8|temp_c=13.1|pres_kpa=536.2|status=OK
