row_id,phonemes,src_phonemes
test_000000,kəmpjʉtə,kəmpjutɚ
test_000001,ɔtoʊɛθnəɡɹæfɪk,ɔtəʊɛθnəʊɡɹæfɪk
test_000002,hɐt,hʌt
test_000003,bɛlhɒp,bɛlhɑp
test_000004,ɹɪfɜɹəl,ɹɪfɜɹəl
test_000005,tɹədjus,tɹədus
test_000006,ɡæmbuʒ,ɡæmbuʒ
test_000007,seɪdɪzəm,sæɪdɪzəm
test_000008,fɹɒsti,fɹɔsti
test_000009,mæmə,mɑmə
test_000010,hɑɹm,hɐm
test_000011,ɹɛktɪfaɪə,ɹɛktɪfaɪɚ
test_000012,bɹið,bɹið
test_000013,sɪmɛtɹɪkəl,səmɛtrəkəl
test_000014,səpɹimʌm,səpɹimʌm
test_000015,pæsɪnd͡ʒɚz,pæsɪnd͡ʒəz
test_000016,æd͡ʒɑel,æd͡ʒaɪl
test_000017,ɔtəmeɪʃən,ɔtəmeɪʃən
test_000018,moʊzeɪɪk,məʊzeɪk
test_000019,bɛɹən,bæɹən
test_000020,sækɹɪfaɪsɪz,sækɹɪfɑesɪz
test_000021,njuɑns,njʉɐns
test_000022,əkwæɪʒən,ɪkweɪʒən
test_000023,əntəɡɹæɪt,ɪntəɡɹeɪt
test_000024,stɹʌt,stɹʌt
test_000025,fɪkst͡ʃə,fɪkst͡ʃɚ
test_000026,dəsønəŋ,dɪsɜnɪŋ
test_000027,kɒləmɪst,kɑləmnɪst
test_000028,ɑɹkɪtaɪpəl,ɑkɪtaɪpəl
test_000029,sɛpəɹət,sɛpəɹeɪt
test_000030,bɒʃ,bɑʃ
test_000031,swɑp,swɒp
test_000032,əlʉd,əlud
test_000033,tɑləɹəbli,tɒləɹəbli
test_000034,seɪdɪzəm,sæɪdəzəm
test_000035,fɛəɹiz,feɹiz
test_000036,ɪkskɹuʃieɪtɪŋ,əkskɹʉʃiæɪtəŋ
test_000037,meɪdsɜvənt,meɪdsɝvənt
test_000038,ɛɹənt,ɛɹənt
test_000039,deɪnd͡ʒə,deɪnd͡ʒɚ
test_000040,seɪdɪzəm,sæɪdɪzəm
test_000041,sɛntimɛntl̩,sɛntimɛntl̩
test_000042,kəlɒmətə,kəlɔmətə
test_000043,mɒnətɒnɪk,mɑnətɑnɪk
