paper_id,true_order
test_00000,BADCE
test_00001,BDCA
test_00002,DCAB
test_00003,ABCD
test_00004,BACDE
test_00005,DACB
test_00006,DBAC
test_00007,CDBEA
test_00008,CDBA
test_00009,DBCEA
test_00010,CBAD
test_00011,ACDBE
test_00012,ABDC
test_00013,ABCED
test_00014,EBCDA
test_00015,BADC
test_00016,CAEDB
test_00017,DEBCA
test_00018,ABDCE
test_00019,DABC
test_00020,BDAC
test_00021,DEBCA
test_00022,CAEDB
test_00023,CABD
test_00024,CEBAD
test_00025,CBDAE
test_00026,ECBDA
test_00027,CDEAB
test_00028,BCDAE
test_00029,ABCD
test_00030,EDCAB
test_00031,CBEDA
test_00032,ABCED
test_00033,ABECD
test_00034,ECABD
test_00035,EABCD
test_00036,ACEDB
test_00037,DCABE
test_00038,EACDB
test_00039,ADBC
test_00040,EBCAD
test_00041,ABDEC
test_00042,CEADB
test_00043,ABCED
test_00044,BDAC
test_00045,ECADB
test_00046,DECAB
test_00047,CDBA
test_00048,ECADB
test_00049,ABDC
test_00050,CEDAB
test_00051,ACEDB
test_00052,DBAC
test_00053,CDBAE
test_00054,DBCA
test_00055,ACEDB
test_00056,CABD
test_00057,ABCED
test_00058,ACEBD
test_00059,DECAB
test_00060,CBAD
test_00061,DECAB
test_00062,CEBDA
test_00063,BCAD
test_00064,BCAD
