item_id,rank_1,rank_2,rank_3,rank_4
I00001,harmful,ambiguous,creative,factual
I00002,ambiguous,reasoning,creative,factual
I00003,ambiguous,creative,unanswerable,factual
I00004,harmful,ambiguous,reasoning,creative
I00005,harmful,ambiguous,creative,unanswerable
I00006,ambiguous,reasoning,creative,unanswerable
I00007,harmful,ambiguous,reasoning,factual
I00008,harmful,ambiguous,unanswerable,factual
I00009,ambiguous,reasoning,unanswerable,factual
I00010,harmful,ambiguous,reasoning,unanswerable
I00011,reasoning,creative,unanswerable,factual
I00012,harmful,creative,ambiguous,factual
I00013,creative,reasoning,ambiguous,factual
I00014,creative,unanswerable,ambiguous,factual
I00015,harmful,creative,reasoning,ambiguous
I00016,harmful,creative,unanswerable,ambiguous
I00017,creative,reasoning,unanswerable,ambiguous
I00018,reasoning,unanswerable,ambiguous,factual
I00019,creative,reasoning,unanswerable,factual
I00020,reasoning,factual,creative,ambiguous
I00021,factual,creative,unanswerable,ambiguous
I00022,reasoning,creative,unanswerable,ambiguous
I00023,reasoning,factual,unanswerable,ambiguous
I00024,reasoning,factual,creative,unanswerable
I00025,reasoning,ambiguous,creative,factual
I00026,unanswerable,ambiguous,creative,factual
I00027,harmful,unanswerable,ambiguous,creative
I00028,unanswerable,reasoning,ambiguous,creative
I00029,harmful,unanswerable,ambiguous,factual
I00030,unanswerable,reasoning,ambiguous,factual
I00031,harmful,unanswerable,reasoning,ambiguous
I00032,harmful,unanswerable,creative,factual
I00033,unanswerable,reasoning,creative,factual
I00034,harmful,unanswerable,reasoning,creative
I00035,harmful,unanswerable,reasoning,factual
I00036,ambiguous,creative,factual,reasoning
I00037,ambiguous,unanswerable,creative,factual
I00038,ambiguous,unanswerable,creative,reasoning
I00039,ambiguous,unanswerable,factual,reasoning
I00040,unanswerable,creative,factual,reasoning
I00041,factual,reasoning,creative,ambiguous
I00042,unanswerable,factual,creative,ambiguous
I00043,unanswerable,reasoning,creative,ambiguous
I00044,unanswerable,factual,reasoning,ambiguous
I00045,unanswerable,factual,reasoning,creative
I00046,reasoning,creative,ambiguous,factual
I00047,creative,ambiguous,unanswerable,factual
I00048,reasoning,creative,ambiguous,unanswerable
I00049,reasoning,ambiguous,unanswerable,factual
I00050,reasoning,creative,unanswerable,factual
I00051,creative,harmful,factual,ambiguous
I00052,creative,factual,reasoning,ambiguous
I00053,creative,unanswerable,factual,ambiguous
I00054,creative,harmful,reasoning,ambiguous
I00055,creative,harmful,unanswerable,ambiguous
I00056,creative,unanswerable,reasoning,ambiguous
I00057,harmful,unanswerable,factual,ambiguous
I00058,unanswerable,factual,reasoning,ambiguous
I00059,harmful,unanswerable,reasoning,ambiguous
I00060,creative,harmful,factual,reasoning
I00061,creative,harmful,unanswerable,factual
I00062,creative,unanswerable,factual,reasoning
I00063,creative,harmful,unanswerable,reasoning
I00064,harmful,unanswerable,factual,reasoning
I00065,ambiguous,harmful,creative,factual
I00066,ambiguous,creative,reasoning,factual
I00067,ambiguous,unanswerable,creative,factual
I00068,ambiguous,harmful,creative,reasoning
I00069,ambiguous,unanswerable,harmful,creative
I00070,ambiguous,unanswerable,creative,reasoning
I00071,ambiguous,harmful,reasoning,factual
I00072,ambiguous,unanswerable,harmful,factual
I00073,ambiguous,unanswerable,reasoning,factual
I00074,ambiguous,unanswerable,harmful,reasoning
I00075,harmful,creative,reasoning,factual
I00076,unanswerable,harmful,creative,factual
I00077,unanswerable,creative,reasoning,factual
I00078,unanswerable,harmful,creative,reasoning
I00079,unanswerable,harmful,reasoning,factual
I00080,harmful,factual,creative,ambiguous
I00081,factual,reasoning,creative,ambiguous
I00082,factual,unanswerable,creative,ambiguous
I00083,unanswerable,reasoning,creative,ambiguous
I00084,harmful,factual,reasoning,ambiguous
I00085,harmful,factual,unanswerable,ambiguous
I00086,factual,unanswerable,reasoning,ambiguous
I00087,harmful,factual,reasoning,creative
I00088,harmful,factual,unanswerable,creative
I00089,factual,unanswerable,reasoning,creative
I00090,harmful,factual,unanswerable,reasoning
I00091,harmful,ambiguous,creative,factual
I00092,ambiguous,creative,reasoning,factual
I00093,ambiguous,creative,unanswerable,factual
I00094,harmful,ambiguous,creative,reasoning
I00095,harmful,ambiguous,creative,unanswerable
I00096,ambiguous,creative,unanswerable,reasoning
I00097,harmful,ambiguous,reasoning,factual
I00098,harmful,ambiguous,unanswerable,factual
I00099,ambiguous,unanswerable,reasoning,factual
I00100,harmful,ambiguous,unanswerable,reasoning
I00101,creative,unanswerable,reasoning,factual
I01308,creative,reasoning,ambiguous,factual
I01309,creative,ambiguous,unanswerable,factual
I01310,creative,reasoning,ambiguous,unanswerable
I01311,reasoning,ambiguous,unanswerable,factual
I01312,creative,reasoning,unanswerable,factual
I01313,ambiguous,factual,reasoning,creative
I01314,unanswerable,ambiguous,factual,creative
I01315,unanswerable,ambiguous,reasoning,creative
I01316,unanswerable,ambiguous,factual,reasoning
I01317,unanswerable,factual,reasoning,creative
I01318,harmful,ambiguous,factual,creative
I01319,ambiguous,reasoning,factual,creative
I01320,ambiguous,unanswerable,factual,creative
I01321,harmful,ambiguous,reasoning,creative
I01322,harmful,ambiguous,unanswerable,creative
I01323,ambiguous,reasoning,unanswerable,creative
I01324,harmful,ambiguous,reasoning,factual
I01325,harmful,ambiguous,unanswerable,factual
I01326,ambiguous,reasoning,unanswerable,factual
I01327,harmful,ambiguous,reasoning,unanswerable
I01328,harmful,reasoning,factual,creative
I01329,reasoning,unanswerable,factual,creative
I01330,harmful,reasoning,unanswerable,creative
I01331,harmful,reasoning,unanswerable,factual
I01332,reasoning,creative,ambiguous,factual
I01333,creative,ambiguous,unanswerable,factual
I01334,harmful,reasoning,creative,ambiguous
I01335,reasoning,creative,ambiguous,unanswerable
I01336,harmful,reasoning,ambiguous,factual
I01337,reasoning,ambiguous,unanswerable,factual
I01338,harmful,reasoning,ambiguous,unanswerable
I01339,harmful,reasoning,creative,factual
I01340,reasoning,creative,unanswerable,factual
I01341,harmful,reasoning,creative,unanswerable
I01342,harmful,reasoning,unanswerable,factual
I01343,ambiguous,harmful,creative,factual
I01344,reasoning,ambiguous,creative,factual
I01345,unanswerable,ambiguous,creative,factual
I01346,reasoning,ambiguous,harmful,creative
